slug,display_name,collection_id,floor_eth,floor_usd,count_lent,lent_value_usd,lent_value_eth,share_value_pct,share_count_pct,tier,eth_usd_rate,source,fetched_at
azuki,Azuki,ETHEREUM:0xed5af388653567af2f388e6224dc7c4b3241c544,0.848,1785.9747402669545,4,7143.898961067818,3.392,13.250828176761047,5.333333333333333,high,2106.102288050654,search,2026-05-25T08:24:36+00:00
mayc,Mutant Ape Yacht Club (BAYC eco.),ETHEREUM:0x60e4d786628fea6478f785a6d7e704777c86a7c6,1.0,2106.102288050654,3,6318.306864151962,3.0,11.719482467654228,4.0,high,2106.102288050654,search,2026-05-25T08:24:36+00:00
lil_pudgys,Lil Pudgys (Pudgy eco.),ETHEREUM:0x524cab2ec69124574082676e6f654a18df49a048,0.587,1236.2820430857337,5,6181.410215428668,2.9349999999999996,11.465560347521718,6.666666666666667,mid,2106.102288050654,search,2026-05-25T08:24:36+00:00
good_vibes_club,Good Vibes Club,ETHEREUM:0xb8ea78fcacef50d41375e44e6814ebba36bb33c4,0.6897,1452.578748068536,4,5810.314992274144,2.7588,10.777236077254827,5.333333333333333,mid,2106.102288050654,search,2026-05-25T08:24:36+00:00
sappy_seals,Sappy Seals,ETHEREUM:0x364c828ee171616a39897688a831c2499ad972ec,0.13779,290.1998342704996,20,5803.996685409992,2.7558,10.765516594787172,26.666666666666668,low,2106.102288050654,search,2026-05-25T08:24:36+00:00
doodles,Doodles,ETHEREUM:0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,0.55,1158.3562584278598,5,5791.781292139299,2.75,10.742858928683043,6.666666666666667,mid,2106.102288050654,search,2026-05-25T08:24:36+00:00
rekt,Rektguy,ETHEREUM:0xb852c6b5892256c264cc2c888ea462189154d8d7,0.267,562.3293109095246,10,5623.293109095246,2.67,10.430339396212261,13.333333333333334,mid,2106.102288050654,search,2026-05-25T08:24:36+00:00
quirkies,Quirkies,ETHEREUM:0xd4b7d9bb20fa20ddada9ecef8a7355ca983cccb1,1.11,2337.773539736226,2,4675.547079472452,2.22,8.67241702606413,2.6666666666666665,high,2106.102288050654,search,2026-05-25T08:24:36+00:00
moonbirds,Moonbirds,ETHEREUM:0x23581767a106ae21c074b2276d25e5c3e136a68b,0.97,2042.9192194091343,2,4085.8384388182685,1.94,7.5785986624164,2.6666666666666665,high,2106.102288050654,search,2026-05-25T08:24:36+00:00
normies,Normies,ETHEREUM:0x9eb6e2025b64f340691e424b7fe7022ffde12438,0.05884,123.92305862890048,20,2478.4611725780096,1.1768,4.597162322645166,26.666666666666668,low,2106.102288050654,floor-price-change,2026-05-25T08:24:36+00:00
